City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Gonbad-E Qabus,IR,37.25,55.1672,56.97,40,96,0.47,overcast clouds
284,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,88,90,8.05,light intensity drizzle
285,Divnomorskoye,RU,44.5011,38.1353,51.37,69,0,12.08,clear sky
286,Lagoa,PT,39.05,-27.9833,67.39,93,100,19.84,overcast clouds
287,Dothan,US,31.2232,-85.3905,65.17,63,73,1.01,broken clouds
288,Serenje,ZM,-13.2325,30.2352,63.91,52,22,4.92,few clouds
289,Sioux Lookout,CA,50.1001,-91.917,48.27,76,40,8.05,scattered clouds
290,San Quintin,MX,30.4833,-115.95,74.68,50,0,9.64,clear sky
291,Coari,BR,-4.085,-63.1414,83.66,65,93,2.46,overcast clouds
292,Itumbiara,BR,-18.4192,-49.2153,83.5,53,92,5.08,overcast clouds
293,Samarai,PG,-10.6167,150.6667,83.53,77,32,9.19,scattered clouds
294,Tual,ID,-5.6667,132.75,83.8,71,100,3.74,overcast clouds
295,Cherskiy,RU,68.75,161.3,-19.88,99,99,1.66,overcast clouds
296,Lorengau,PG,-2.0226,147.2712,81.27,80,20,3.18,few clouds
297,Nileshwar,IN,12.25,75.1,78.03,86,95,3.09,overcast clouds
298,Te Anau,NZ,-45.4167,167.7167,56.66,74,72,5.23,broken clouds
299,Korhogo,CI,9.45,-5.6333,74.17,82,72,3.42,light rain
300,Yoichi,JP,43.2039,140.7703,36.23,69,4,4.88,clear sky
301,Myitkyina,MM,25.3833,97.4,67.5,89,5,2.57,clear sky
302,Anchorage,US,61.2181,-149.9003,34.32,87,40,1.01,mist
303,Imbituba,BR,-28.24,-48.6703,70.83,96,100,9.53,overcast clouds
304,Katsuura,JP,35.1333,140.3,51.91,68,0,6.44,clear sky
305,Arlit,NE,18.7369,7.3853,85.6,12,36,6.67,scattered clouds
306,Kavieng,PG,-2.5744,150.7967,83.39,74,93,8.61,light rain
307,Madang,PG,-5.2246,145.7966,77.72,91,48,2.53,scattered clouds
308,Chenzhou,CN,25.8,113.0333,60.21,98,100,3.02,light rain
309,Pitimbu,BR,-7.4706,-34.8086,79.39,74,43,14.63,scattered clouds
310,Dzilam Gonzalez,MX,21.2833,-88.9333,81.97,49,98,10.89,overcast clouds
311,Bijie,CN,27.3125,105.2942,47.8,92,99,0.87,overcast clouds
312,Ambilobe,MG,-13.2,49.05,74.41,83,27,1.74,scattered clouds
313,Batken,KG,39.8333,71.0,31.03,59,0,5.84,clear sky
314,Karpathos,GR,35.507,27.2132,66.16,72,78,13.8,broken clouds
315,Crestline,US,34.242,-117.2856,79.09,26,0,1.99,clear sky
